production_companies_nombres,budget_per_company,revenue_per_company,return_per_company,count_movies
dymphana,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dynamic,2112289.4067373467,5604674.0,1.326682378786734,1
dynamic entertainment deh,4224578.813474693,11209348.0,2.653364757573468,1
dynamic range,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dynamite entertainment,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dynamo,10700620.651560975,25327788.6952381,5.688854864359233,6
dynamo producciones,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dynan productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
dziki film,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
délia film,4224578.813474693,11209348.0,2.653364757573468,1
département de la charente,584941.6818657268,1552063.5692307693,0.36738896643324936,2
département de la charente-maritime,769089.9891197518,2040676.1743589744,0.48304845586593903,3
département des alpes-maritimes,962500.0,1610126.6875,0.10455368100649351,1
département des landes,352048.2344562244,934112.3333333334,0.22111372979778898,1
département des pyrénées-atlantiques,384052.6194067903,1019031.6363636364,0.24121497796122435,1
département fédéral de l'intérieur,1001983.4365292541,2658627.4102564105,0.6293236925013994,3
dévelopimage,469397.64594163257,1245483.111111111,0.294818306397052,1
dévelopimage 2,905882.3529411765,1318746.8235294118,0.17126582947693336,2
e & g prouctions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
e & r productions corp.,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
e stars films,3888888.888888889,1531668.3333333333,0.04376195238095238,1
e&e films,2112289.4067373467,5604674.0,1.326682378786734,1
e&r,2112289.4067373467,5604674.0,1.326682378786734,1
e-k-corporation,2112289.4067373467,5604674.0,1.326682378786734,1
e-m-s gmbh,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
e-motion film,153846.15384615384,862257.5384615385,0.43112878997174187,2
e-motions films,2816385.8756497954,7472898.666666667,1.7689098383823119,2
e-wolf,2112289.4067373467,5604674.0,1.326682378786734,1
e. & l. productions,2112289.4067373467,5604674.0,1.326682378786734,1
e.d.i films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
e.h. filmes,6336868.2202120405,16814022.0,3.9800471363602017,2
e.k.,1250000.0,1000000.0,0.4,1
e.o.p.c.,1056144.7033686733,2802337.0,0.663341189393367,1
e.p. production,2112289.4067373467,5604674.0,1.326682378786734,1
e1 entertainment,10561447.033686733,28023370.0,6.633411893933669,3
e1 entertainment u.s.,500000.0,3736449.3333333335,2.490966342058953,1
e2b capital,704096.4689124489,1868224.6666666667,0.44222745959557797,1
e3w productions,4224578.813474693,11209348.0,2.653364757573468,1
e4 entertainments,600000.0,11209348.0,18.682247565442147,1
ea international,2816385.8756497954,7472898.666666667,1.7689098383823119,2
eadweard pictures,2112289.4067373467,5604674.0,1.326682378786734,1
eagle associates,2112289.4067373467,8087801.0,1.9144632771918455,1
eagle beach productions,7724578.813474693,14855435.5,3.1742344004306107,2
eagle eye films inc.,2464337.641193571,6538786.333333334,1.5477961085845229,2
eagle films,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
eagle one media,4224578.813474693,11209348.0,2.653364757573468,1
eagle pictures,11265543.502599182,29891594.666666664,7.075639353529247,5
eagle rock entertainment,13377832.90933653,35496268.66666667,8.402321732315981,5
eagle rock film & tv productions,4224578.813474693,11209348.0,2.653364757573468,1
eagle vision inc.,2142857.1428571427,8613454.0,1.2018981626909617,2
eagle vision media group,649935.2020730297,1724515.076923077,0.40820996270361043,2
eagle-lion films,25347472.88084816,67256088.0,15.920188545440807,8
"eaglevision, inc.",4224578.813474693,11209348.0,2.653364757573468,1
ealing metro international,2658192.9378248975,6538786.333333334,1.4449223461544203,2
ealing studios,126401671.964688,325983267.60634923,82.64311239604571,41
earl grey film,2112289.4067373467,5604674.0,1.326682378786734,2
earls,1056144.7033686733,2802337.0,0.663341189393367,1
earth canada productions,32000000.0,93237543.6,1.1654692949999998,2
earth girls,3333333.3333333335,1305434.3333333333,0.13054343333333332,1
earthbound human productions inc.,4224578.813474693,11209348.0,2.653364757573468,1
earthlight / white castle productions,4224578.813474693,11209348.0,2.653364757573468,1
earthling associates,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
earthome productions,4224578.813474693,11209348.0,2.653364757573468,1
earthsense foundation,704096.4689124489,1868224.6666666667,0.44222745959557797,1
earthship productions,4333333.333333333,5680290.333333333,0.43694541025641026,1
easedram,8333333.333333333,3736449.3333333335,0.14945798052353718,1
easkel media,704096.4689124489,1868224.6666666667,0.44222745959557797,1
east asia film company,8449157.626949387,22418696.0,5.306729515146936,2
east film company,2816385.8756497954,7472898.666666667,1.7689098383823119,2
east japan marketing & communications inc.,5069494.576169632,20020895.4,4.739146036382786,4
east midlands media initiative,704096.4689124489,1868224.6666666667,0.44222745959557797,1
east of harlem (uk) ltd,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
east of l.a. productions,4224578.813474693,11209348.0,2.653364757573468,1
east of west film,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
east wing holdings,2816385.8756497954,7472898.666666667,1.7689098383823119,2
east-west film partners,4224578.813474693,11209348.0,2.653364757573468,1
eastcroft productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
eastern counties newspapers ltd.,4224578.813474693,11209348.0,2.653364757573468,1
eastern film management corporation,5280723.516843366,14011685.0,3.3167059469668345,2
eastern films,8449157.626949387,22418696.0,5.306729515146936,2
eastern productions,38021209.32127224,67776052.0,16.043269089961893,12
eastern sunrise films,40000000.0,11209348.0,0.2802337134816322,1
eastlake films,2112289.4067373467,5604674.0,1.326682378786734,1
eastside films,4224578.813474693,11209348.0,2.653364757573468,1
easy company,1666666.6666666667,1868224.6666666667,0.18682247565442145,1
easy film,2464337.641193571,6538786.333333334,1.5477961085845229,2
easy open productions,4576627.047930918,12143460.333333334,2.874478487371257,3
easy there tiger productions,13333333.333333334,43180166.333333336,1.0795041583333334,1
easy tiger,1395937.0,5604674.0,2.00749542050703,1
easye films,4224578.813474693,11209348.0,2.653364757573468,1
ebc films,2112289.4067373467,5604674.0,1.326682378786734,1
ebeling group,4000000.0,14655209.4,0.73276047,2
ebf productions,10561447.033686733,28023370.0,6.633411893933669,3
ecaveo capital partners,650000.0,5604674.0,4.311287899717419,1
ecce films,15138074.08161765,40166830.333333336,9.507890381304925,6
echelon studios,2112289.4067373467,5604674.0,1.326682378786734,1
echo bridge entertainment,14632771.75129959,26155145.333333336,4.783302847794101,3
echo bridge home entertainment,5280723.516843366,14011685.0,3.3167059469668345,2
echo films,13595341.949053809,24624742.0,2.697503131441506,6
echo lake entertainment,11706593.455673356,16477997.711111112,3.021765939952764,6
echo lake productions,12683717.978165917,12580614.5,2.0224876005513606,5
echo lake productions (i),2112289.4067373467,581317.5,0.13760365841580063,1
echo productions,844915.7626949387,2241869.6,0.5306729515146935,1
echolands creative group,4224578.813474693,11209348.0,2.653364757573468,1
echolight studios,3168434.1101060202,8407011.0,1.9900235681801008,2
echowolf productions,3168434.1101060202,8407011.0,1.9900235681801008,2
eclair num%c3%a9rique,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
eclectic films,8500000.0,2418318.5,0.1422540294117647,1
eclectic pictures,32524017.23144095,35496268.666666664,6.5526980560589845,8
eclectik vision,3520482.3445622446,9341123.333333334,2.21113729797789,2
eclipse catering,17945622.74007068,19927941.666666664,2.6655820743799294,4
ecm records,603511.2590678133,1601335.4285714286,0.37905210822478114,1
ecn motion pictures,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
ecole nationale supérieure des arts décoratifs,4224578.813474693,11209348.0,2.653364757573468,1
ecosse films,35460740.05631099,74256426.63333334,8.1576969102295,15
ectafilms,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
ed adlum and mike findlay productions,4224578.813474693,11209348.0,2.653364757573468,1
ed ancoats inc.,4224578.813474693,11209348.0,2.653364757573468,1
ed friendly productions,4444444.444444444,15362118.0,0.38405295,1
ed productions sprl,2112289.4067373467,5604674.0,1.326682378786734,1
edda film (ii),1408192.9378248977,3736449.3333333335,0.8844549191911559,1
eddie murphy productions,62891245.48014136,512653884.3333333,32.3937652763497,5
eddie saeta,10411727.824703604,26155145.333333336,6.528920475018022,5
eddie saeta s.a.,7144354.180661196,20924116.266666666,5.936717384823532,6
eddie wong films,2112289.4067373467,5604674.0,1.326682378786734,1
eden films,2166666.6666666665,3736449.3333333335,0.5748383866289891,1
eden productions,4224578.813474693,11209348.0,2.653364757573468,1
eden productions inc.,4224578.813474693,11209348.0,2.653364757573468,1
eden roc productions,1700000.0,1120934.8,0.06593734434861934,1
eden rock media,14877590.58376653,40769899.527777776,9.306902203178968,6
eden wurmfeld films,1608192.9378248977,5739134.133333334,2.887139719191156,2
edenstreet productions,1408192.9378248977,3736449.3333333335,0.8844549191911559,1
edgar j. scherick associates,8449157.626949387,22418696.0,5.306729515146936,2
edgar rice burroughs inc.,2487289.4067373467,25731618.5,7.295814703940838,2
edge city,17750000.0,56741072.75,2.370888298717949,2
edge city films,3520482.3445622446,9341123.333333334,2.21113729797789,3
edgeline films,2112289.4067373467,5604674.0,1.326682378786734,1
edgewood entertainment,12673736.440424081,33628044.0,7.960094272720403,3
edgewood productions,3168434.1101060202,8407011.0,1.9900235681801008,2
edgey productions,7000000.0,5604674.0,0.4003338764023317,1
edi,333333.3333333333,7126120.333333333,7.126120333333334,1
edison company,8449157.626949387,22418696.0,5.306729515146936,2
edison manufacturing company,190106046.6063612,504420660.0,119.40141409080606,45
edith film oy,4343277.528869456,18593283.587301586,11.986480198383084,4
