collection_name,id_list,title_list,return_sum,return_mean
atlantis collection,"[10865, 8965]","['atlantis: the lost empire', ""atlantis: milo's return""]",4.203812465906801,2.1019062329534006
atlas shrugged collection,"[56780, 134371, 199933, 86821]","['atlas shrugged part i', 'atlas shrugged part ii', 'atlas shrugged part iii: who is john galt?', 'ayn rand & the prophecy of atlas shrugged']",7.85709088966666,1.964272722416665
ator collection,"[40075, 48193, 5086, 31264]","['ator, the fighting eagle', 'ator the iron warrior', 'ator iv: the hobgoblin', 'the blade master']",10.613459030293871,2.653364757573468
attack on titan collection,"[295830, 340382, 295830, 340382]","['attack on titan', 'attack on titan ii: end of the world', 'attack on titan', 'attack on titan ii: end of the world']",10.613459030293871,2.653364757573468
aurélie laflamme collection,[359413],['aurélie laflamme: les pieds sur terre'],2.653364757573468,2.653364757573468
austin powers collection,"[816, 817, 818, 818]","['austin powers: international man of mystery', 'austin powers: the spy who shagged me', 'austin powers in goldmember', 'austin powers in goldmember']",22.94211951803752,5.73552987950938
avatar collection,"[19995, 76600]","['avatar', 'avatar 2']",14.416930525505958,7.208465262752979
avp collection,"[395, 440]","['avp: alien vs. predator', 'aliens vs predator: requiem']",3.490410407142857,1.7452052035714285
azumi collection,"[5889, 5890, 5889, 5890]","['azumi', 'azumi 2: death or love', 'azumi', 'azumi 2: death or love']",10.613459030293871,2.653364757573468
babe collection,"[9598, 9447]","['babe', 'babe: pig in the city']",9.239295444444446,4.619647722222223
baby burlesks,"[156389, 156388]","['runt page', 'the pie-covered wagon']",5.306729515146936,2.653364757573468
babylon 5 collection,"[10940, 10916, 10921, 10941, 10942, 16068, 15289]","['babylon 5: in the beginning', 'babylon 5: a call to arms', 'babylon 5: the river of souls', 'babylon 5: thirdspace', 'babylon 5: the gathering', 'babylon 5: the legend of the rangers - to live and die in starlight', 'babylon 5: the lost tales - voices in the dark']",18.573553303014275,2.653364757573468
babysitting,"[262551, 331836]","['babysitting', 'babysitting 2']",5.306729515146936,2.653364757573468
bachelor party collection,"[12309, 14503, 12309]","['bachelor party', 'bachelor party 2: the last temptation', 'bachelor party']",14.680207089877548,4.893402363292516
back to the future collection,"[105, 165, 196]","['back to the future', 'back to the future part ii', 'back to the future part iii']",34.47159810131579,11.490532700438598
bad ass collection,"[94380, 255268, 309887]","['bad ass', 'bad ass 2: bad asses', 'bad asses on the bayou']",6.806399550851859,2.268799850283953
bad boys collection,"[9737, 8961, 38700]","['bad boys', 'bad boys ii', 'bad boys for life']",12.198451674172658,4.0661505580575525
bad kids collection,"[138372, 426580]","['bad kids go to hell', 'bad kids of crestview academy']",4.895234465426525,2.4476172327132626
bad santa collection,"[10147, 338964]","['bad santa', 'bad santa 2']",4.009533792642141,2.0047668963210703
bahubali collection,"[256040, 350312, 256040, 350312]","['baahubali: the beginning', 'baahubali 2: the conclusion', 'baahubali: the beginning', 'baahubali 2: the conclusion']",30.555555555555557,7.638888888888889
balto collection,"[21032, 25913, 34942]","['balto', 'balto ii: wolf quest', 'balto iii: wings of change']",7.992991152355229,2.6643303841184096
bambi collection,"[3170, 13205]","['bambi', 'bambi ii']",314.3633297925385,157.18166489626924
bananas!* collection,"[36325, 84177]","['bananas!*', 'big boys gone bananas!*']",5.306729515146936,2.653364757573468
bang rajan collection,"[39907, 39907]","['bang rajan', 'bang rajan']",5.306729515146936,2.653364757573468
barbarian queen collection,"[29903, 29904]","['barbarian queen', 'barbarian queen ii: the empress strikes back']",5.306729515146936,2.653364757573468
barbershop collection,"[10611, 21301, 326423]","['barbershop', 'barbershop 2:  back in business', 'barbershop: the next cut']",12.681662272222223,4.227220757407408
barbie a mermaid tale collection,"[34134, 91342]","['barbie in a mermaid tale', 'barbie in a mermaid tale 2']",7.55832626394704,3.77916313197352
barbie fairytopia collection,"[13284, 16962, 13285]","['barbie: fairytopia', 'barbie fairytopia: magic of the rainbow', 'barbie fairytopia: mermaidia']",7.960094272720403,2.653364757573468
barbie mariposa collection,"[196254, 18198]","['barbie: mariposa and the fairy princess', 'barbie mariposa and her butterfly fairy friends']",5.306729515146936,2.653364757573468
barefoot gen collection,"[14087, 14088, 14087, 14088]","['barefoot gen', 'barefoot gen 2', 'barefoot gen', 'barefoot gen 2']",10.613459030293871,2.653364757573468
barney collection,[17644],"[""barney's great adventure""]",2.653364757573468,2.653364757573468
barrytown trilogy,"[11844, 11663, 12664]","['the van', 'the commitments', 'the snapper']",7.960094272720403,2.653364757573468
basic instinct collection,"[402, 3093]","['basic instinct', 'basic instinct 2']",7.754446093877552,3.877223046938776
basket case collection,"[27813, 27816, 27815]","['basket case', 'basket case 3', 'basket case 2']",9.79046893085305,3.2634896436176835
batman (dc universe animated) collection,"[14919, 15805, 21683, 14919, 21683]","['batman: mask of the phantasm', 'batman & mr. freeze: subzero', 'batman: mystery of the batwoman', 'batman: mask of the phantasm', 'batman: mystery of the batwoman']",9.832557939387069,1.9665115878774138
batman beyond collection,"[16234, 64202]","['batman beyond: return of the joker', 'batman beyond: the movie']",5.306729515146936,2.653364757573468
batman collection,"[414, 268, 364, 415]","['batman forever', 'batman', 'batman returns', 'batman & robin']",20.523774816,5.130943704
batman unlimited collection,"[327418, 342917, 411802]","['batman unlimited: animal instincts', 'batman unlimited: monster mayhem', 'batman unlimited: mechs vs. mutants']",7.960094272720403,2.653364757573468
